kabupaten_geo,kabupaten_bps,kab_id,mean_ndvi,std_ndvi,mean_ndbi,log_ntl,std_ntl,ntl_cv,urban_pct,agri_pct,tree_pct,urban_ratio,agri_ratio,wealth_proxy,poverty_rate,poverty_depth,poverty_severity,jumlah_miskin,garis_kemiskinan
HUMBANG HASUNDUTAN,Humbang Hasundutan,1215,0.7519839269752772,0.1310815150955213,-0.2588841947187096,0.2637554706994021,0.1038133733555564,0.34396949390315684,2.2500958536451763,0.5586898176042063,94.97648651397904,0.02301058025776073,0.0057134352149259835,-0.09618430846096727,7.8,1.01,0.18,15.62,503769
PAKPAK BHARAT,Pakpak Bharat,1216,0.8317921211774336,0.0810216688555481,-0.3195863939972284,0.22890254419788286,0.0705308867449864,0.27420504310215416,0.2940379481916668,0.0637082221081944,99.61630930485975,0.002941142547375463,0.0006372475519313497,-0.1477830703357138,6.4,0.71,0.15,3.53,426571
SAMOSIR,Samosir,1217,0.6401613874436979,0.1887965114656862,-0.2009633005708316,0.24728139258219664,0.1918788073343031,0.6839638561116939,4.77784743434128,2.1641701457897056,79.35334996198533,0.05536620991862001,0.025078636402278327,-0.06468057136889073,10.79,0.84,0.09,13.8,473942
SERDANG BEDAGAI,Serdang Bedagai,1218,0.7703417824106547,0.1684547771798147,-0.2676765643458226,0.7240767031299982,1.0545015273593998,0.9921679601190951,5.739498792987851,14.767627511420809,75.2005814597296,0.059969034125571696,0.15429924983486282,0.12766702577912134,6.18,0.62,0.12,38.14,535422
BATU BARA,Batu Bara,1219,0.7165041353217491,0.1887965114656862,-0.2502755679285865,0.8465708726831325,1.3527635965856606,1.0158646396978834,7.508726177645908,6.538756647196318,76.68835459992643,0.0827536989876969,0.07206366120352133,-0.04483869169404146,10.1,1.13,0.2,44.28,613493
PADANG LAWAS UTARA,Padang Lawas Utara,1220,0.7824386144354871,0.0773708207956803,-0.2234143812044477,0.2754157647468814,0.1408051131967462,0.4440706830768986,0.1835388763102206,0.2461580223454724,98.92303294651352,0.0018473460829536003,0.0024776170994907118,-0.08580415487499106,8.04,0.94,0.17,24.8,519411
PADANG LAWAS,Padang Lawas,1221,0.7700082088307013,0.1497962630164263,-0.2386345892650483,0.292922680618232,0.2304451992801209,0.6771045816205321,0.388825355334096,0.5875946196155317,98.22458203997176,0.003919570845419592,0.005923273028302156,-0.07913067823653877,7.32,0.75,0.14,23.69,499761
LABUHAN BATU SELATAN,Labuhanbatu Selatan,1222,0.7051178631937125,0.1503793018995975,-0.2312953252038513,0.3732284180493334,0.3663233889948642,0.8097046532867492,0.2957902931187212,1.0787270024325362,96.22592549510352,0.003030624499861829,0.011052480619850466,-0.02379796117523121,6.8,1.06,0.34,26.12,550141
LABUHAN BATU UTARA,Labuanbatu Utara,1223,0.6893177549189825,0.3402816462608227,-0.2502755679285865,0.336215059336662,0.2684560946916067,0.6717448102561405,0.4440869040565737,1.033412511618553,94.17805873687998,0.004642562467183842,0.010803475841627809,-0.04483869169404146,8.42,1.49,0.38,32.09,629870
NIAS UTARA,Nias Utara,1224,0.4945573909353631,0.3295797103527833,-0.285808150712471,0.2053273257194493,0.0790207386586697,0.3466932943092672,0.2388171967186141,0.2317655078391274,95.46529393789804,0.002489341892487874,0.002415837702749058,-0.08199026054108928,20.79,4.0,1.15,29.65,551434
NIAS BARAT,Nias Barat,1225,0.7389535840631457,0.6161364860628665,-0.3686920953703295,0.2359544128765972,0.0801750455305014,0.3012778927416572,0.1169046038618147,0.2526328303793455,95.58041154383424,0.0012183915166909306,0.0026329647182727752,-0.14042113898542938,22.47,2.23,0.34,18.64,564416
SIBOLGA,Sibolga,1271,0.5942296966512924,0.3707432151684022,-0.1624555921057497,1.466811773055261,2.492867558478473,0.7473989265594934,60.17537449762514,0.0,35.33065400073073,0.6300688599846977,0.0,0.5658232695656471,10.28,1.29,0.24,9.02,637141
TANJUNG BALAI,Tanjungbalai,1272,0.6496603312825134,0.1953245258322587,-0.210800537551595,1.5353040636712414,2.6163808335901164,0.7182458770498027,24.649901019136305,0.0,66.04589779309337,0.2717865804365399,0.0,0.5744798043136395,10.67,1.61,0.38,20.02,619558
PEMATANG SIANTAR,Pematangsiantar,1273,0.580842968911731,0.1596236571480321,-0.1236733771769795,1.6898346459891402,3.7229836850543774,0.8425738065544818,55.236699843378986,8.528267569342699,36.03799322992979,0.553457527589349,0.08545104788903513,0.6916467160591301,6.24,0.43,0.05,16.53,722851
TEBING TINGGI,Tebing Tinggi,1274,0.7165041353217491,0.1887965114656862,-0.2502755679285865,2.119635093838062,4.600560093317876,0.6277972973516632,64.03210867551714,4.867757538334878,31.10013378614799,0.6403210867551713,0.04867757538334878,-0.04483869169404146,8.74,1.06,0.25,15.36,691270
MEDAN,Medan,1275,0.3836655031870292,0.1927524506604078,-0.0317737958395743,3.1607814409567183,14.256908277480218,0.6311432242883367,80.21926172633918,0.6674993061337775,7.225922842076047,0.9104167322896652,0.007575518946672126,1.494125481089081,7.25,1.31,0.35,171.6,721547
BINJAI,Binjai,1276,0.6179305744577371,0.138932425793139,-0.1463915375990933,1.9589178966262377,3.823585883806012,0.6276766561554787,57.330139921845465,18.07638976427581,24.59347031387873,0.5733013992184547,0.1807638976427581,0.8119553721418434,4.71,0.68,0.14,13.87,600451
PADANGSIDIMPUAN,Padangsidimpuan,1277,0.7165041353217491,0.1887965114656862,-0.2502755679285865,0.8883785668032536,1.3462782268854625,0.940674157253784,14.638010608252388,0.5855204243300954,84.52159537094434,0.1467541436464089,0.005870165745856355,-0.04483869169404146,5.61,0.53,0.06,13.57,578095
GUNUNGSITOLI,Gunungsitoli,1278,0.7165041353217491,0.1887965114656862,-0.2502755679285865,0.36073824958654843,0.550199565367447,1.2666086906429752,3.0606279445648075,0.0,94.7161181608721,0.0313022069814473,0.0,-0.04483869169404146,13.85,2.01,0.43,21.05,521961
