kab_id,kabupaten_geo,mean_ndvi,std_ndvi,mean_ndbi,mean_ntl,std_ntl,urban_pct,agri_pct,tree_pct
1201,NIAS,0.6827964450424896,0.5155606420674287,-0.2652821333448568,0.2488392718616482,0.09008595105052535,0.2221616928550757,0.17449481622716675,97.22766040755175
1202,MANDAILING NATAL,0.7453360631919314,0.2293661398148806,-0.28066605455075555,0.29017293360745416,0.22057849834997786,0.4669028291846039,0.7616717764610571,97.07175422153742
1203,TAPANULI SELATAN,0.7622749365853136,0.1508083461401654,-0.2816150527539123,0.37261878472533616,0.5711389287785175,0.2667183938703267,0.15461109035049955,98.60108341867365
1204,TAPANULI TENGAH,0.7310304110124121,0.25927258901236117,-0.28110678563783986,0.31297853801843123,0.33538119684637335,1.0586490600390577,0.2912141427291906,94.23020763486811
1205,TAPANULI UTARA,0.7355630495374841,0.15629933224859888,-0.27123019439390006,0.3539627692807391,0.3080661376000155,1.5047255270164939,1.2186240041630285,95.68352458308398
1206,TOBA SAMOSIR,0.6465226754728673,0.19171783417707922,-0.21883432312662626,0.38166926411039376,0.49868754861357906,2.760954243639474,5.359608178292029,90.21986555782009
1207,LABUHANBATU,0.6992705394519159,0.3189316366590044,-0.2219616254719622,0.49972958469101336,0.6930591043211596,1.7496222655309084,1.2334216538565412,92.82268012642241
1208,ASAHAN,0.7367656615726106,0.20054495576966314,-0.26372885396088686,0.7173588444760001,1.0499764979733681,1.7092246392300627,1.285124714316248,94.82102632401045
1209,SIMALUNGUN,0.7653061005101808,0.1252759960692125,-0.26639936360455907,0.6326559950768376,0.7774280581973176,2.56504345501215,5.993265751600792,88.07133673843825
1210,DAIRI,0.696129502511531,0.17220250957053382,-0.22807510818339727,0.3049159917073598,0.26721240255846057,1.7293178562259561,2.689810468801139,94.13572323075147
1211,KARO,0.7282460828322851,0.12775005558613978,-0.22285243872527682,0.5398336083984453,0.7491178015659948,4.0510602192957,14.057333062597897,79.07499129778958
1212,DELI SERDANG,0.7165041353217491,0.19597241252154668,-0.23820708934679513,2.7853182954065314,5.080779162330267,17.02913208318982,10.63529326838482,67.72882242979405
1213,LANGKAT,0.783773196986722,0.1705030287242313,-0.27880228425143716,0.6273797832795504,0.7996968623670375,2.6905294036381573,1.2272227838654743,93.3520160410477
1214,NIAS SELATAN,0.5892467301350491,0.31947553249768423,-0.2977919656401302,0.23194648997318676,0.12284173027891077,0.1920398429916008,0.09093594962839037,94.37175537078444
1215,HUMBANG HASUNDUTAN,0.7519839269752772,0.13108151509552138,-0.25888419471870966,0.3018098267306944,0.10381337335555649,2.2500958536451763,0.5586898176042063,94.97648651397903
1216,PAKPAK BHARAT,0.8317921211774336,0.08102166885554812,-0.31958639399722844,0.2572195097035847,0.07053088674498648,0.2940379481916668,0.06370822210819448,99.61630930485977
1217,SAMOSIR,0.6401613874436979,0.18879651146568624,-0.2009633005708316,0.28053939637267705,0.19187880733430318,4.77784743434128,2.1641701457897056,79.35334996198533
1218,SERDANG BEDAGAI,0.7703417824106547,0.16845477717981477,-0.26767656434582265,1.0628256200017006,1.0545015273593998,5.739498792987851,14.767627511420807,75.2005814597296
1219,BATU BARA,,,,1.3316376451374174,1.3527635965856606,7.508726177645908,6.538756647196318,76.68835459992643
1220,PADANG LAWAS UTARA,0.7824386144354871,0.07737082079568036,-0.2234143812044477,0.3170781557141509,0.14080511319674627,0.18353887631022067,0.24615802234547243,98.92303294651352
1221,PADANG LAWAS,0.7700082088307013,0.1497962630164263,-0.23863458926504832,0.34033915223050243,0.23044519928012092,0.388825355334096,0.5875946196155317,98.22458203997176
1222,LABUHAN BATU SELATAN,0.7051178631937125,0.1503793018995975,-0.23129532520385135,0.45241605998914064,0.3663233889948642,0.2957902931187212,1.0787270024325362,96.22592549510352
1223,LABUHAN BATU UTARA,0.6893177549189825,0.3402816462608227,-0.2502755679285865,0.399639998095769,0.2684560946916067,0.44408690405657375,1.033412511618553,94.17805873687998
1224,NIAS UTARA,0.49455739093536316,0.3295797103527833,-0.28580815071247107,0.22792693125520735,0.0790207386586697,0.23881719671861412,0.23176550783912747,95.46529393789805
1225,NIAS BARAT,0.7389535840631457,0.6161364860628665,-0.36869209537032954,0.26611659023800566,0.08017504553050146,0.11690460386181478,0.25263283037934553,95.58041154383424
1271,SIBOLGA,0.5942296966512924,0.37074321516840225,-0.16245559210574972,3.335390873457509,2.492867558478473,60.17537449762514,0.0,35.33065400073073
1272,TANJUNG BALAI,0.6496603312825134,0.19532452583225873,-0.21080053755159509,3.64273700301199,2.6163808335901164,24.649901019136305,0.0,66.04589779309337
1273,PEMATANG SIANTAR,0.580842968911731,0.1596236571480321,-0.1236733771769795,4.418584646345335,3.7229836850543783,55.236699843378986,8.528267569342699,36.03799322992979
1274,TEBING TINGGI,,,,7.328097958887602,4.600560093317876,64.03210867551714,4.867757538334878,31.10013378614799
1275,MEDAN,0.38366550318702924,0.19275245066040786,-0.031773795839574376,22.589022156668154,14.256908277480218,80.21926172633918,0.6674993061337775,7.225922842076047
1276,BINJAI,0.6179305744577371,0.13893242579313902,-0.14639153759909337,6.091649014359537,3.823585883806012,57.330139921845465,18.07638976427581,24.59347031387873
1277,PADANGSIDIMPUAN,,,,1.4311844505389668,1.3462782268854623,14.638010608252387,0.5855204243300954,84.52159537094434
1278,GUNUNGSITOLI,,,,0.43438796009535224,0.550199565367447,3.0606279445648075,0.0,94.7161181608721
